level,level_ja,word,readings,rank
beginner,初級,学校,がっこう,1
beginner,初級,先生,せんせい,1
beginner,初級,教室,きょうしつ,1
beginner,初級,時間,じかん,1
beginner,初級,時計,とけい,1
beginner,初級,電車,でんしゃ,1
beginner,初級,駅前,えきまえ,1
beginner,初級,道路,どうろ,1
beginner,初級,公園,こうえん,1
beginner,初級,図書館,としょかん,2
beginner,初級,病院,びょういん,2
beginner,初級,銀行,ぎんこう,2
beginner,初級,会社,かいしゃ,2
beginner,初級,工場,こうじょう,2
beginner,初級,農業,のうぎょう,2
beginner,初級,漁業,ぎょぎょう,2
beginner,初級,家族,かぞく,1
beginner,初級,兄弟,きょうだい,1
beginner,初級,姉妹,しまい,1
beginner,初級,父親,ちちおや,1
beginner,初級,母親,ははおや,1
beginner,初級,祖父,そふ,1
beginner,初級,祖母,そぼ,1
beginner,初級,友達,ともだち,1
beginner,初級,名前,なまえ,1
beginner,初級,住所,じゅうしょ,2
beginner,初級,電話,でんわ,1
beginner,初級,番号,ばんごう,2
beginner,初級,天気,てんき,1
beginner,初級,晴天,せいてん,2
beginner,初級,大雨,おおあめ,1
beginner,初級,台風,たいふう,2
beginner,初級,地震,じしん,2
beginner,初級,火山,かざん,2
beginner,初級,森林,しんりん,2
beginner,初級,植物,しょくぶつ,2
beginner,初級,動物,どうぶつ,1
beginner,初級,昆虫,こんちゅう,2
beginner,初級,野菜,やさい,1
beginner,初級,果物,くだもの,1
beginner,初級,牛乳,ぎゅうにゅう,2
beginner,初級,料理,りょうり,1
beginner,初級,朝食,ちょうしょく,2
beginner,初級,昼食,ちゅうしょく,2
beginner,初級,夕食,ゆうしょく,2
beginner,初級,食事,しょくじ,1
beginner,初級,飲料,いんりょう,3
beginner,初級,買物,かいもの,1
beginner,初級,売場,うりば,1
beginner,初級,店員,てんいん,2
beginner,初級,商品,しょうひん,2
beginner,初級,料金,りょうきん,2
beginner,初級,無料,むりょう,2
beginner,初級,有料,ゆうりょう,2
beginner,初級,旅行,りょこう,1
beginner,初級,旅館,りょかん,2
beginner,初級,空港,くうこう,2
beginner,初級,港町,みなとまち,2
beginner,初級,海岸,かいがん,2
beginner,初級,湖岸,こがん,3
beginner,初級,河川,かせん,3
beginner,初級,山道,やまみち,1
beginner,初級,平野,へいや,2
beginner,初級,島国,しまぐに,2
beginner,初級,外国,がいこく,1
beginner,初級,世界,せかい,1
beginner,初級,日本語,にほんご,1
beginner,初級,英語,えいご,1
beginner,初級,国語,こくご,1
beginner,初級,算数,さんすう,1
beginner,初級,理科,りか,1
beginner,初級,社会,しゃかい,1
beginner,初級,音楽,おんがく,1
beginner,初級,図工,ずこう,2
beginner,初級,体育,たいいく,1
beginner,初級,作文,さくぶん,1
beginner,初級,日記,にっき,1
beginner,初級,読書,どくしょ,1
beginner,初級,漢字,かんじ,1
beginner,初級,計算,けいさん,2
beginner,初級,答え,こたえ,1
beginner,初級,問題,もんだい,1
beginner,初級,練習,れんしゅう,2
beginner,初級,試合,しあい,1
beginner,初級,勝負,しょうぶ,2
beginner,初級,選手,せんしゅ,2
beginner,初級,運動,うんどう,1
beginner,初級,安全,あんぜん,1
beginner,初級,注意,ちゅうい,1
beginner,初級,交通,こうつう,2
beginner,初級,信号,しんごう,2
beginner,初級,横断,おうだん,3
beginner,初級,入口,いりぐち,1
beginner,初級,出口,でぐち,1
beginner,初級,左右,さゆう,1
beginner,初級,前後,ぜんご,1
beginner,初級,上下,じょうげ,1
beginner,初級,春夏秋冬,しゅんかしゅうとう,4
beginner,初級,東西南北,とうざいなんぼく,4
beginner,初級,一日,いちにち/ついたち,2
beginner,初級,今日,きょう/こんにち,2
beginner,初級,明日,あした/あす/みょうにち,2
intermediate,中級,環境,かんきょう,1
intermediate,中級,資源,しげん,1
intermediate,中級,自然,しぜん,1
intermediate,中級,地域,ちいき,1
intermediate,中級,産業,さんぎょう,1
intermediate,中級,経済,けいざい,2
intermediate,中級,政治,せいじ,2
intermediate,中級,文化,ぶんか,1
intermediate,中級,歴史,れきし,1
intermediate,中級,伝統,でんとう,2
intermediate,中級,制度,せいど,2
intermediate,中級,法律,ほうりつ,2
intermediate,中級,権利,けんり,2
intermediate,中級,義務,ぎむ,2
intermediate,中級,責任,せきにん,2
intermediate,中級,議会,ぎかい,2
intermediate,中級,選挙,せんきょ,2
